state,district,event_summary,location,timestamp,source_url
Arunachal Pradesh,East Kameng,Suspension of four officials over corruption scandal involving Frontier Highway compensation,Seppa,2025-04-22 13:00:00,
Arunachal Pradesh,East Siang,SIFF led major demonstrations in Pasighat against dam pre-feasibility studies,Pasighat,2025-05-28 10:00:00,
Arunachal Pradesh,Kamle,District identified as zone with very high vulnerability to landslides and seismic events,Raga,2024-09-12 11:00:00,
Arunachal Pradesh,Kra Daadi,State disaster reports list district as high-risk for fire and flash flood hazards,Jamin,2024-09-13 12:00:00,
Arunachal Pradesh,Kurung Kumey,Mass protest in Layang Yangte over failure to complete vital road packages,Koloriang,2025-07-20 14:00:00,
Arunachal Pradesh,Lepa-Rada,Recorded as very high vulnerability area for forest fires in state disaster profile,Basar,2024-09-14 13:00:00,
Arunachal Pradesh,Lohit,Joint military exercise conducted by Army and ITBP in Tezu for security readiness,Tezu,2025-11-08 08:00:00,
Arunachal Pradesh,Longding,High-security monitoring implemented for villages along Patkai Range,Longding,2024-10-05 09:00:00,
Arunachal Pradesh,Lower Dibang Valley,Free surgical camp at Anpum village provides medical support to 82 residents,Roing Anpum,2024-09-22 10:00:00,
Arunachal Pradesh,Lower Siang,Identified for having very high vulnerability to landslides and flash floods,Likabali,2024-09-15 11:00:00,
Arunachal Pradesh,Lower Subansiri,Administrative monitoring of 158 medicinal plant species utilized by Ziro valley community,Ziro,2024-09-16 12:00:00,
Arunachal Pradesh,Namsai,Ranked with very high hazard vulnerability for fire and earthquake in regional reports,Namsai,2024-09-17 13:00:00,
Arunachal Pradesh,Pakke-Kessang,90 schoolgirls completed 65 km foot march from Nyangno to Lemmi over teacher shortages,Seijosa,2025-09-25 07:00:00,
Arunachal Pradesh,Papum Pare,12-hour bandh enforced in Itanagar by youth groups demanding mosque demolition and deportations,Itanagar,2025-12-18 06:00:00,
Arunachal Pradesh,Shi Yomi,Mechuka and Tato divisions highlighted for disaster preparedness and infrastructure monitoring,Tato,2024-09-18 14:00:00,
Arunachal Pradesh,Siang,Indefinite sit-in at Beging launched to oppose Siang Upper Multipurpose Project,Boleng,2025-05-29 09:00:00,
Arunachal Pradesh,Tawang,Anti-dam activists emphasize ecological threat of mega-projects in frontier region,Tawang,2025-05-30 11:00:00,
Arunachal Pradesh,Tirap,High vulnerability ranking issued for cyclones and flash floods in state reports,Khonsa,2024-09-19 15:00:00,
Arunachal Pradesh,Upper Dibang Valley,Geological assessment of Mishmi Thrust and sub-surface flows in valley,Anini valley,2024-09-20 10:00:00,
Arunachal Pradesh,Upper Siang,Police intercepted villagers from Geku Circle to prevent them from joining anti-dam protests,Yingkiong,2025-05-31 12:00:00,
Arunachal Pradesh,Upper Subansiri,Hundreds of residents and students protested in Daporijo against NHPC hydro project,Daporijo,2025-10-22 13:00:00,
Arunachal Pradesh,West Kameng,Records verify district inclusion in ancient chiefdom histories,Bomdila,2024-09-21 14:00:00,
Arunachal Pradesh,West Siang,Resident of Aalo arrested for allegedly sharing sensitive security data with foreign handlers,Along,2025-11-12 16:00:00,
Manipur,Bishnupur,Inter-community clashes at mutual border with Churachandpur led to house burning,Bishnupur,2023-05-15 18:00:00,
Manipur,Chandel,10 militants killed in heavy gunfight with security forces,Chandel,2025-08-20 05:00:00,
Manipur,Churachandpur,Ethnic violence erupted following Tribal Solidarity March 87 tribals later buried in mass ceremony,Churachandpur,2023-05-16 12:00:00,
Manipur,Imphal East,Mob violence targeting minority communities led to several fatalities during initial riots,Imphal East,2023-05-17 14:00:00,
Manipur,Imphal West,Police fired tear gas to disperse large student protest against ongoing ethnic conflict,Imphal,2024-09-18 16:00:00,
Manipur,Jiribam,Suspected militants abducted and killed three Meitei women and three children,Jiribam,2024-11-14 07:00:00,
Manipur,Kakching,Operationalized 34 relief camps to house and assist people displaced by regional violence,Kakching,2024-06-10 10:00:00,
Manipur,Kamjong,9 Dengue cases recorded in district following statewide surge in vector-borne diseases,Kamjong,2025-10-15 11:00:00,
Manipur,Kangpokpi,Nationally outraged incident where two women were paraded naked by mob during conflict,Kangpokpi,2023-05-18 15:00:00,
Manipur,Noney,Recorded 6 Dengue cases in district health update during regional outbreak,Noney,2025-10-16 12:00:00,
Manipur,Pherzawl,District officially reported as remaining free from statewide Dengue outbreak,Pherzawl,2025-10-17 13:00:00,
Manipur,Senapati,Assam Rifles personnel provided emergency aid to accident victims on National Highway-2,Senapati,2025-07-12 14:00:00,
Manipur,Tamenglong,Prohibitory orders imposed after clash between Naga villages over land dispute injured 25,Tamenglong,2025-04-20 09:00:00,
Manipur,Tengnoupal,Biometric registration and retina scans initiated for persons entering from neighboring regions,Moreh,2023-08-10 15:00:00,
Manipur,Thoubal,64 Dengue cases recorded in district health breakdown for calendar year,Thoubal,2025-10-18 16:00:00,
Manipur,Ukhrul,Kuki Lawyers Association sought action for reported human rights violations and arson at K Songlung,Ukhrul,2025-02-22 17:00:00,
Mizoram,Aizawl,Mass influx of Myanmar nationals fleeing military coup in their home country,Aizawl,2021-03-15 10:00:00,
Mizoram,Champhai,Seizure of 24.6 kg of high-grade heroin and 490 kg of methamphetamine by district police,Champhai,2024-06-18 08:00:00,
Mizoram,Khawzawl,Over 15000 CSS employees staged state-wide protests demanding job regularization,Khawzawl,2024-08-22 09:00:00,
Mizoram,Saitual,Police personnel honored for bravery during high-risk jungle operation against drug traffickers,Saitual,2025-01-15 11:00:00,
Mizoram,Kolasib,Truckers call for 4-day strike to protest dilapidated condition of National Highway-306,Kolasib,2025-10-20 12:00:00,
Mizoram,Lawngtlai,15 percent of Bangladeshi refugees in district recorded through new biometric enrollment systems,Lawngtlai,2025-09-10 13:00:00,
Mizoram,Lunglei,Completion of 100 percent biometric enrollment for all refugees residing in district,Lunglei,2025-09-11 14:00:00,
Mizoram,Mamit,Inter-state border dispute tensions reasserted regarding claims over Phuldungsei village,Mamit,2021-07-08 15:00:00,
Mizoram,Serchhip,Launched first biometric enrollment drive for refugees in central Mizoram,Serchhip,2025-07-15 16:00:00,
Mizoram,Saiha,Seizure of foreign currency and contraband tobacco during intensified border operations,Saiha,2025-01-18 17:00:00,
Mizoram,Hnahthial,Continuous monitoring of Myanmar nationals seeking shelter in border relative houses,Hnahthial,2025-11-20 18:00:00,
Nagaland,Chümoukedima,Hosted Inclusive India event for social inclusion of persons with disabilities,Chümoukedima,2024-11-22 10:00:00,
Nagaland,Dimapur,Hosted Viksit Bharat Youth Parliament focused on One Nation One Election,Dimapur,2025-03-18 11:00:00,
Nagaland,Kiphire,Recorded NIL voter turnout during central polls as part of ENPO statehood demand,Kiphire,2024-04-15 12:00:00,
Nagaland,Kohima,NSF observed North East Black Day in capital to protest Citizenship Amendment Act,Kohima,2025-12-20 13:00:00,
Nagaland,Longleng,Strictly implemented poll boycott mandate of Eastern Nagaland People Organization,Longleng,2024-04-16 14:00:00,
Nagaland,Meluri,Formally included in updated Nagaland Basic Facts report as separate administrative district,Meluri,2024-06-20 15:00:00,
Nagaland,Mokokchung,Completion of environmental assessment reports for regional power transmission networks,Mokokchung,2020-08-10 16:00:00,
Nagaland,Mon,Observed total bandh to pressure Centre regarding Frontier Nagaland Territory,Mon,2024-05-12 17:00:00,
Nagaland,Niuland,Recognized as one of 16 primary districts in state administrative set-up reports,Niuland,2024-07-14 18:00:00,
Nagaland,Noklak,Implementation of poll boycott resolutions in response to delayed FNT settlement,Noklak,2024-04-17 08:00:00,
Nagaland,Peren,Guidelines issued for Rah-Veer Good Samaritan awards following fatal motor vehicle accidents,Peren,2025-06-10 09:00:00,
Nagaland,Phek,Environmental assessment finalized for NERPSIP power grid expansion project,Phek,2020-08-11 10:00:00,
Nagaland,Shamator,Adherence to total shutdown calls for administrative autonomy from state government,Shamator,2024-05-13 11:00:00,
Nagaland,Tuensang,Indefinite shutdown called by ENPO to press for creation of Frontier Naga Territory,Tuensang,2024-03-15 12:00:00,
Nagaland,Tseminyü,District administrative review meetings held for regional developmental activities,Tseminyü,2024-08-16 13:00:00,
Nagaland,Wokha,Shops for food and milk remained closed during pandemic restrictions causing local distress,Wokha,2020-05-18 14:00:00,
Nagaland,Zünheboto,Distribution network components for power grid improvements evaluated in environmental reports,Zünheboto,2020-08-12 15:00:00,
Tripura,Dhalai,Tensions flared as picketers at 10 locations enforced statewide strike for Tiprasa Accord,Ambassa,2025-10-25 09:00:00,
Tripura,Gomati,Protesters conducted picketing at 7 locations during 24-hour strike for administrative rights,Udaipur,2025-10-26 10:00:00,
Tripura,Khowai,Villagers block road with burning tyres during protests for implementation of regional accords,Khowai,2025-10-27 11:00:00,
Tripura,North Tripura,Hindu Jagaran Mancha led demonstrations in Kanchanpur against reported communal activities,Dharmanagar,2025-09-15 12:00:00,
Tripura,Sepahijala,Bangladeshi smuggler shot dead by BSF troopers near Kalamchera during area march,Bishramganj,2025-08-30 13:00:00,
Tripura,South Tripura,Monitoring of 100 percent railway electrification on Agartala-Sabroom border-hugging line,Belonia,2024-11-10 14:00:00,
Tripura,Unakoti,Altercation in Shantirbazar market between picketers and shopkeepers led to shops being torched,Kailashahar,2025-10-28 15:00:00,
Tripura,West Tripura,National Highway 108B blocked at Lembucherra during massive picketing and tyre burning,Agartala,2025-10-29 16:00:00,
Sikkim,East Sikkim,CAP Sikkim held dharna in capital to highlight regional political grievances,Gangtok,2023-11-15 10:00:00,
Sikkim,North Sikkim,Glacial lake outburst disaster caused massive destruction to hydropower dams and infrastructure,Mangan,2023-10-18 06:00:00,
Sikkim,South Sikkim,Evaluation of administrative development in Jorethang and Yangyang subdivisions,Namchi,2023-12-20 11:00:00,
Sikkim,West Sikkim,District Collector oversaw preparation and monitoring for statehood golden jubilee celebrations,Geyzing,2024-05-15 12:00:00,
Sikkim,Pakyong,Subdivisions Rangpo and Rongli identified for high-level administrative oversight,Pakyong,2024-06-18 13:00:00,
Sikkim,Soreng,Local government monitoring of infrastructure and environmental sustainability initiatives,Soreng,2024-07-20 14:00:00
